 'tryton/binutils/2.34' load complete.
 'tryton/compiler/gcc/7.4' load complete.
 'tryton/python3/3.5.6' load complete.

Loading tryton/python3/3.5.6
  Loading requirement: tryton/binutils/2.34 tryton/compiler/gcc/7.4
iter.      J_T    ∫gₐ(t)dt          J       ΔJ_T         ΔJ  secs
0     1.00e+00    0.00e+00   1.00e+00        n/a        n/a     7
1     1.00e+00    3.69e-13   1.00e+00  -7.37e-13  -3.69e-13    15
2     1.00e+00    3.69e-13   1.00e+00  -7.38e-13  -3.69e-13    15
3     1.00e+00    3.70e-13   1.00e+00  -7.40e-13  -3.70e-13    15
4     1.00e+00    3.70e-13   1.00e+00  -7.41e-13  -3.70e-13    15
5     1.00e+00    3.71e-13   1.00e+00  -7.42e-13  -3.71e-13    15
6     1.00e+00    3.72e-13   1.00e+00  -7.43e-13  -3.72e-13    15
7     1.00e+00    3.72e-13   1.00e+00  -7.44e-13  -3.72e-13    15
8     1.00e+00    3.73e-13   1.00e+00  -7.46e-13  -3.73e-13    15
9     1.00e+00    3.73e-13   1.00e+00  -7.47e-13  -3.73e-13    15
10    1.00e+00    3.74e-13   1.00e+00  -7.48e-13  -3.74e-13    15
11    1.00e+00    3.75e-13   1.00e+00  -7.49e-13  -3.75e-13    15
12    1.00e+00    3.75e-13   1.00e+00  -7.50e-13  -3.75e-13    15
13    1.00e+00    3.76e-13   1.00e+00  -7.52e-13  -3.76e-13    15
14    1.00e+00    3.76e-13   1.00e+00  -7.53e-13  -3.76e-13    15
15    1.00e+00    3.77e-13   1.00e+00  -7.54e-13  -3.77e-13    15
16    1.00e+00    3.78e-13   1.00e+00  -7.55e-13  -3.78e-13    15
17    1.00e+00    3.78e-13   1.00e+00  -7.56e-13  -3.78e-13    15
18    1.00e+00    3.79e-13   1.00e+00  -7.58e-13  -3.79e-13    15
19    1.00e+00    3.79e-13   1.00e+00  -7.59e-13  -3.79e-13    15
20    1.00e+00    3.80e-13   1.00e+00  -7.60e-13  -3.80e-13    15
21    1.00e+00    3.81e-13   1.00e+00  -7.61e-13  -3.81e-13    15
22    1.00e+00    3.81e-13   1.00e+00  -7.63e-13  -3.81e-13    15
23    1.00e+00    3.82e-13   1.00e+00  -7.64e-13  -3.82e-13    15
24    1.00e+00    3.83e-13   1.00e+00  -7.65e-13  -3.82e-13    15
25    1.00e+00    3.83e-13   1.00e+00  -7.66e-13  -3.83e-13    15
26    1.00e+00    3.84e-13   1.00e+00  -7.68e-13  -3.84e-13    15
27    1.00e+00    3.84e-13   1.00e+00  -7.69e-13  -3.84e-13    15
28    1.00e+00    3.85e-13   1.00e+00  -7.70e-13  -3.85e-13    15
29    1.00e+00    3.86e-13   1.00e+00  -7.71e-13  -3.86e-13    15
30    1.00e+00    3.86e-13   1.00e+00  -7.73e-13  -3.86e-13    15
31    1.00e+00    3.87e-13   1.00e+00  -7.74e-13  -3.87e-13    15
32    1.00e+00    3.88e-13   1.00e+00  -7.75e-13  -3.88e-13    15
33    1.00e+00    3.88e-13   1.00e+00  -7.76e-13  -3.88e-13    15
